n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
119,0.747312,0.0005892203888755912,0.7401823333333334,0.0013476934204616259
120,0.7460893333333333,0.000580124890768266,0.7389086666666667,0.001362452771862377
121,0.7448843333333333,0.000583780971103248,0.7376503333333334,0.0013730213237803425
122,0.7436973333333333,0.0005878970053410166,0.7364083333333333,0.0013780881281285895
123,0.7425206666666666,0.0005765768716215718,0.7351723333333333,0.0013943909861377456
124,0.7413563333333334,0.0005775126742236167,0.733956,0.0014084743519141643
125,0.7402000000000001,0.0005721823718593874,0.7327486666666667,0.0014182772021795534
126,0.739065,0.0005696495999003964,0.7315606666666667,0.0014308744024391258
127,0.7379353333333333,0.0005698194645869832,0.7303856666666667,0.0014367918738943585
128,0.736827,0.0005697303455729605,0.729222,0.0014454634781503868
129,0.7357293333333335,0.0005739537341013777,0.7280703333333333,0.001449906280496163
130,0.7346436666666666,0.0005761882408457481,0.7269303333333333,0.0014584380533829938
131,0.7335756666666667,0.000574322983075621,0.7258046666666665,0.0014661571842367372
132,0.7325200000000001,0.0005707789998472679,0.7246916666666667,0.0014749653856578903
133,0.7314813333333333,0.0005734023214307996,0.7235976666666666,0.0014832519078775168
134,0.7304296666666668,0.0005767624197959861,0.722499,0.0014868806273537977
135,0.7294056666666666,0.0005867891917508368,0.721422,0.001482619528627158
136,0.728393,0.0005881400060076323,0.7203556666666667,0.0014933506695422201
137,0.7273900000000001,0.0005939904600804961,0.7192959999999999,0.0014951202850161135
138,0.7263933333333333,0.0006011768088969898,0.7182473333333333,0.0014943674990517842
139,0.7254166666666667,0.0006108493176626395,0.7172170000000001,0.001494641986117974
140,0.7244449999999999,0.0006156703663487029,0.7161933333333333,0.001493450665033439
141,0.7234923333333333,0.000620615465127585,0.7151846666666666,0.0014928327285920657
142,0.7225376666666666,0.000632255398465598,0.7141743333333332,0.0014871523870209858
143,0.721599,0.0006423726851810142,0.713175,0.0014819763830776695
144,0.7206696666666668,0.0006378068324779324,0.7121846666666668,0.001487540326250782
145,0.7197426666666668,0.0006416283105419582,0.7112013333333334,0.0014918401016492853
146,0.7188283333333333,0.0006478401723333507,0.7102313333333333,0.0014886719659556243
147,0.7179276666666667,0.0006538533644649829,0.7092776666666666,0.0014824925707139682
148,0.7170336666666667,0.0006522419455658467,0.7083266666666667,0.0014846234838802774
149,0.716149,0.0006525442513730099,0.7073876666666666,0.0014849561908989008
150,0.7152766666666667,0.000654345644306001,0.7064533333333333,0.001486065573549459
151,0.7144106666666667,0.0006544546499864487,0.7055343333333335,0.0014931051164900984
152,0.7135596666666667,0.0006719803237860225,0.7046253333333333,0.0014799982732722622
153,0.712722,0.0006679565854155472,0.7037306666666666,0.0014851050093811242
154,0.7118936666666666,0.000665582618629901,0.7028409999999999,0.0014886620391031326
155,0.7110586666666666,0.0006744174440870223,0.7019529999999999,0.0014870415820234268
156,0.7102436666666666,0.0006784336535153507,0.701078,0.0014910602491739254
157,0.7094396666666666,0.000678242991527052,0.7002176666666667,0.0014912304390074216
158,0.708643,0.000683982943257124,0.6993613333333334,0.0014895413910178813
159,0.7078510000000001,0.0006772065169995692,0.698509,0.0014939941990070487
160,0.70707,0.0006721919368752067,0.6976716666666668,0.0015067457943823428
161,0.706302,0.0006680299394488292,0.6968446666666667,0.001513439643842967
162,0.7055410000000001,0.0006678986949131513,0.6960276666666667,0.0015145167179297836
163,0.7047883333333335,0.00066742107315316,0.6952126666666668,0.0015155584962499807
164,0.704041,0.0006741221452130834,0.694406,0.0015205527503729297
165,0.703303,0.0006630842078248113,0.693612,0.0015320354652117961
166,0.70257,0.0006568962373668165,0.6928276666666666,0.0015453319672125252
167,0.7018476666666666,0.0006570323854693804,0.6920436666666667,0.001542648444144749
168,0.7011310000000001,0.0006640662617540587,0.691272,0.0015516973502157944
169,0.7004173333333333,0.0006705134019706389,0.6905003333333334,0.0015481787866895669
170,0.699716,0.0006803195327687098,0.689742,0.001556305239983474
171,0.6990176666666666,0.000683033592796803,0.688991,0.0015586695181040216
172,0.6983240000000001,0.0006993897339824054,0.688238,0.001552254059961405
173,0.6976439999999999,0.0007067205954265251,0.687494,0.0015525246106476865
174,0.6969696666666666,0.0007124588097255994,0.6867696666666667,0.0015537877017862518
175,0.6963,0.0007279235307823577,0.6860383333333333,0.0015488856926477376
176,0.69563,0.0007385485766014557,0.6853073333333333,0.0015379320169919399
177,0.6949783333333333,0.0007438321196494653,0.6845993333333333,0.0015398615377869456
178,0.694325,0.0007593431371916014,0.6838850000000001,0.0015280250870540945
179,0.693686,0.0007622392450318377,0.6831933333333332,0.0015249464107159538
180,0.6930506666666667,0.0007805947874680166,0.682497,0.001514138919210048
181,0.6924273333333333,0.0007859000501901368,0.6818173333333334,0.0015118982182085918
182,0.6918009999999999,0.0007981282269576865,0.6811333333333334,0.0015030248020427041
183,0.6911913333333333,0.0007944680959960303,0.6804653333333333,0.0015032483346259183
